STATE,STATE_ABBREV,ENTIRE_STATE,LOC,LOC_TYPE,SOURCE_DOC,DATE_START,DATE_END,MONTH_DATE,YEAR,FIPS,generated_n,benchmark_n,match_flag
Minnesota,MN,0,Aitkin County,County,2017_MN,2016-10-01,2017-09-30,2016-10-01,2016,27001,1,0,FALSE
Minnesota,MN,0,Aitkin County,County,2017_MN,2016-10-01,2017-09-30,2016-11-01,2016,27001,1,0,FALSE
Minnesota,MN,0,Aitkin County,County,2017_MN,2016-10-01,2017-09-30,2016-12-01,2016,27001,1,0,FALSE
Minnesota,MN,0,Aitkin County,County,2017_MN,2016-10-01,2017-09-30,2017-01-01,2017,27001,1,0,FALSE
Minnesota,MN,0,Aitkin County,County,2017_MN,2016-10-01,2017-09-30,2017-02-01,2017,27001,1,0,FALSE
Minnesota,MN,0,Aitkin County,County,2017_MN,2016-10-01,2017-09-30,2017-03-01,2017,27001,1,0,FALSE
Minnesota,MN,0,Aitkin County,County,2017_MN,2016-10-01,2017-09-30,2017-04-01,2017,27001,1,0,FALSE
Minnesota,MN,0,Aitkin County,County,2017_MN,2016-10-01,2017-09-30,2017-05-01,2017,27001,1,0,FALSE
Minnesota,MN,0,Aitkin County,County,2017_MN,2016-10-01,2017-09-30,2017-06-01,2017,27001,1,0,FALSE
Minnesota,MN,0,Aitkin County,County,2017_MN,2016-10-01,2017-09-30,2017-07-01,2017,27001,1,0,FALSE
Minnesota,MN,0,Aitkin County,County,2017_MN,2016-10-01,2017-09-30,2017-08-01,2017,27001,1,0,FALSE
Minnesota,MN,0,Aitkin County,County,2017_MN,2016-10-01,2017-09-30,2017-09-01,2017,27001,1,0,FALSE
Minnesota,MN,0,Cass County,County,2017_MN,2016-10-01,2017-09-30,2016-10-01,2016,27021,1,0,FALSE
Minnesota,MN,0,Cass County,County,2017_MN,2016-10-01,2017-09-30,2016-11-01,2016,27021,1,0,FALSE
Minnesota,MN,0,Cass County,County,2017_MN,2016-10-01,2017-09-30,2016-12-01,2016,27021,1,0,FALSE
Minnesota,MN,0,Cass County,County,2017_MN,2016-10-01,2017-09-30,2017-01-01,2017,27021,1,0,FALSE
Minnesota,MN,0,Cass County,County,2017_MN,2016-10-01,2017-09-30,2017-02-01,2017,27021,1,0,FALSE
Minnesota,MN,0,Cass County,County,2017_MN,2016-10-01,2017-09-30,2017-03-01,2017,27021,1,0,FALSE
Minnesota,MN,0,Cass County,County,2017_MN,2016-10-01,2017-09-30,2017-04-01,2017,27021,1,0,FALSE
Minnesota,MN,0,Cass County,County,2017_MN,2016-10-01,2017-09-30,2017-05-01,2017,27021,1,0,FALSE
Minnesota,MN,0,Cass County,County,2017_MN,2016-10-01,2017-09-30,2017-06-01,2017,27021,1,0,FALSE
Minnesota,MN,0,Cass County,County,2017_MN,2016-10-01,2017-09-30,2017-07-01,2017,27021,1,0,FALSE
Minnesota,MN,0,Cass County,County,2017_MN,2016-10-01,2017-09-30,2017-08-01,2017,27021,1,0,FALSE
Minnesota,MN,0,Cass County,County,2017_MN,2016-10-01,2017-09-30,2017-09-01,2017,27021,1,0,FALSE
