YEAR,STATE,STATE_ABBREV,ENTIRE_STATE,LOC,LOC_TYPE,DATE_START,DATE_END,SOURCE_DOC,MONTH_DATE,FIPS
2016,Minnesota,MN,0,Aitkin County,County,2016-10-01,2017-09-30,2017_MN,2016-10-01,27001
2016,Minnesota,MN,0,Aitkin County,County,2016-10-01,2017-09-30,2017_MN,2016-11-01,27001
2016,Minnesota,MN,0,Aitkin County,County,2016-10-01,2017-09-30,2017_MN,2016-12-01,27001
2017,Minnesota,MN,0,Aitkin County,County,2016-10-01,2017-09-30,2017_MN,2017-01-01,27001
2017,Minnesota,MN,0,Aitkin County,County,2016-10-01,2017-09-30,2017_MN,2017-02-01,27001
2017,Minnesota,MN,0,Aitkin County,County,2016-10-01,2017-09-30,2017_MN,2017-03-01,27001
2017,Minnesota,MN,0,Aitkin County,County,2016-10-01,2017-09-30,2017_MN,2017-04-01,27001
2017,Minnesota,MN,0,Aitkin County,County,2016-10-01,2017-09-30,2017_MN,2017-05-01,27001
2017,Minnesota,MN,0,Aitkin County,County,2016-10-01,2017-09-30,2017_MN,2017-06-01,27001
2017,Minnesota,MN,0,Aitkin County,County,2016-10-01,2017-09-30,2017_MN,2017-07-01,27001
2017,Minnesota,MN,0,Aitkin County,County,2016-10-01,2017-09-30,2017_MN,2017-08-01,27001
2017,Minnesota,MN,0,Aitkin County,County,2016-10-01,2017-09-30,2017_MN,2017-09-01,27001
2017,Minnesota,MN,0,Aitkin County,County,2017-10-01,2018-09-30,2018_MN,2017-10-01,27001
2017,Minnesota,MN,0,Aitkin County,County,2017-10-01,2018-09-30,2018_MN,2017-11-01,27001
2017,Minnesota,MN,0,Aitkin County,County,2017-10-01,2018-09-30,2018_MN,2017-12-01,27001
2018,Minnesota,MN,0,Aitkin County,County,2017-10-01,2018-09-30,2018_MN,2018-01-01,27001
2018,Minnesota,MN,0,Aitkin County,County,2017-10-01,2018-09-30,2018_MN,2018-02-01,27001
2018,Minnesota,MN,0,Aitkin County,County,2017-10-01,2018-09-30,2018_MN,2018-03-01,27001
2018,Minnesota,MN,0,Aitkin County,County,2017-10-01,2018-09-30,2018_MN,2018-04-01,27001
2018,Minnesota,MN,0,Aitkin County,County,2017-10-01,2018-09-30,2018_MN,2018-05-01,27001
2018,Minnesota,MN,0,Aitkin County,County,2017-10-01,2018-09-30,2018_MN,2018-06-01,27001
2018,Minnesota,MN,0,Aitkin County,County,2017-10-01,2018-09-30,2018_MN,2018-07-01,27001
2018,Minnesota,MN,0,Aitkin County,County,2017-10-01,2018-09-30,2018_MN,2018-08-01,27001
2018,Minnesota,MN,0,Aitkin County,County,2017-10-01,2018-09-30,2018_MN,2018-09-01,27001
2018,Minnesota,MN,0,Aitkin County,County,2018-10-01,2019-09-30,2019_MN,2018-10-01,27001
2018,Minnesota,MN,0,Aitkin County,County,2018-10-01,2019-09-30,2019_MN,2018-11-01,27001
2018,Minnesota,MN,0,Aitkin County,County,2018-10-01,2019-09-30,2019_MN,2018-12-01,27001
2019,Minnesota,MN,0,Aitkin County,County,2018-10-01,2019-09-30,2019_MN,2019-01-01,27001
2019,Minnesota,MN,0,Aitkin County,County,2018-10-01,2019-09-30,2019_MN,2019-02-01,27001
2019,Minnesota,MN,0,Aitkin County,County,2018-10-01,2019-09-30,2019_MN,2019-03-01,27001
2019,Minnesota,MN,0,Aitkin County,County,2018-10-01,2019-09-30,2019_MN,2019-04-01,27001
2019,Minnesota,MN,0,Aitkin County,County,2018-10-01,2019-09-30,2019_MN,2019-05-01,27001
2019,Minnesota,MN,0,Aitkin County,County,2018-10-01,2019-09-30,2019_MN,2019-06-01,27001
2019,Minnesota,MN,0,Aitkin County,County,2018-10-01,2019-09-30,2019_MN,2019-07-01,27001
2019,Minnesota,MN,0,Aitkin County,County,2018-10-01,2019-09-30,2019_MN,2019-08-01,27001
2019,Minnesota,MN,0,Aitkin County,County,2018-10-01,2019-09-30,2019_MN,2019-09-01,27001
2017,Minnesota,MN,0,Becker County,County,2017-10-01,2018-09-30,2018_MN,2017-10-01,27005
2017,Minnesota,MN,0,Becker County,County,2017-10-01,2018-09-30,2018_MN,2017-11-01,27005
2017,Minnesota,MN,0,Becker County,County,2017-10-01,2018-09-30,2018_MN,2017-12-01,27005
